Year,Average CPI,Annual Inflation Rate (%),Average Hourly Wage,Annual Wage Growth (%),Real Wage Growth (%),Average Employment,Average Unemployment Rate
2016,240.01,,25.65,,,144331.92,4.88
2017,245.12,2.13,26.31,2.57,0.43,146610.42,4.36
2018,251.11,2.44,27.1,3.0,0.55,148893.67,3.89
2019,255.66,1.81,28.0,3.32,1.48,150905.08,3.68
2020,258.81,1.23,29.36,4.86,3.59,142161.92,8.1
2021,270.97,4.7,30.61,4.26,-0.42,146284.33,5.35
2022,292.65,8.0,32.26,5.39,-2.42,152549.17,3.65
2023,304.7,4.12,33.7,4.46,0.33,155895.25,3.62
2024,313.69,2.95,35.06,4.04,1.06,157693.83,4.02
2025,321.94,2.63,36.44,3.94,1.28,158438.92,4.26
2026,330.08,2.53,37.39,2.61,0.08,158731.17,4.3
